,5-LowBehavior,5-Susceptible,5-Asymptomatic_Inf,5-Symptomatic_Inf,5-Total_Inf,5-Recovered,5-Dead,5.5-LowBehavior,5.5-Susceptible,5.5-Asymptomatic_Inf,5.5-Symptomatic_Inf,5.5-Total_Inf,5.5-Recovered,5.5-Dead,6-LowBehavior,6-Susceptible,6-Asymptomatic_Inf,6-Symptomatic_Inf,6-Total_Inf,6-Recovered,6-Dead,6.5-LowBehavior,6.5-Susceptible,6.5-Asymptomatic_Inf,6.5-Symptomatic_Inf,6.5-Total_Inf,6.5-Recovered,6.5-Dead,7-LowBehavior,7-Susceptible,7-Asymptomatic_Inf,7-Symptomatic_Inf,7-Total_Inf,7-Recovered,7-Dead,7.5-LowBehavior,7.5-Susceptible,7.5-Asymptomatic_Inf,7.5-Symptomatic_Inf,7.5-Total_Inf,7.5-Recovered,7.5-Dead,8-LowBehavior,8-Susceptible,8-Asymptomatic_Inf,8-Symptomatic_Inf,8-Total_Inf,8-Recovered,8-Dead,8.5-LowBehavior,8.5-Susceptible,8.5-Asymptomatic_Inf,8.5-Symptomatic_Inf,8.5-Total_Inf,8.5-Recovered,8.5-Dead,9-LowBehavior,9-Susceptible,9-Asymptomatic_Inf,9-Symptomatic_Inf,9-Total_Inf,9-Recovered,9-Dead,9.5-LowBehavior,9.5-Susceptible,9.5-Asymptomatic_Inf,9.5-Symptomatic_Inf,9.5-Total_Inf,9.5-Recovered,9.5-Dead,10-LowBehavior,10-Susceptible,10-Asymptomatic_Inf,10-Symptomatic_Inf,10-Total_Inf,10-Recovered,10-Dead
0,5,77581,1404,1015,2419,0,0,5.5,77566,1455,979,2434,0,0,6,77617,1460,923,2383,0,0,6.5,77588,1456,956,2412,0,0,7,77573,1460,967,2427,0,0,7.5,77576,1420,1004,2424,0,0,8,77663,1402,935,2337,0,0,8.5,77681,1375,944,2319,0,0,9,77679,1441,880,2321,0,0,9.5,77561,1446,993,2439,0,0,10,77588,1456,956,2412,0,0
1,5,77253,1605,1142,2747,0,0,5.5,77271,1630,1099,2729,0,0,6,77270,1673,1057,2730,0,0,6.5,77204,1698,1098,2796,0,0,7,77157,1706,1137,2843,0,0,7.5,77143,1677,1180,2857,0,0,8,77198,1663,1139,2802,0,0,8.5,77197,1679,1124,2803,0,0,9,77115,1757,1128,2885,0,0,9.5,77019,1788,1193,2981,0,0,10,76949,1854,1197,3051,0,0
2,5,76532,2059,1409,3468,0,0,5.5,76624,1977,1399,3376,0,0,6,76535,2103,1362,3465,0,0,6.5,76369,2218,1413,3631,0,0,7,76286,2229,1485,3714,0,0,7.5,76187,2239,1574,3813,0,0,8,76163,2273,1564,3837,0,0,8.5,76083,2329,1588,3917,0,0,9,75976,2459,1565,4024,0,0,9.5,75784,2509,1707,4216,0,0,10,75630,2639,1731,4370,0,0
3,5,75657,2613,1730,4343,0,0,5.5,75781,2490,1729,4219,0,0,6,75595,2658,1747,4405,0,0,6.5,75358,2803,1839,4642,0,0,7,75138,2913,1949,4862,0,0,7.5,74958,2965,2077,5042,0,0,8,74866,3045,2089,5134,0,0,8.5,74690,3186,2124,5310,0,0,9,74448,3342,2210,5552,0,0,9.5,74076,3536,2388,5924,0,0,10,73873,3686,2441,6127,0,0
4,5,74711,3186,2102,5288,1,0,5.5,74815,3074,2111,5185,0,0,6,74433,3344,2223,5567,0,0,6.5,74054,3605,2340,5945,1,0,7,73660,3787,2551,6338,2,0,7.5,73349,3911,2740,6651,0,0,8,73150,4037,2810,6847,3,0,8.5,72760,4361,2877,7238,2,0,9,72412,4553,3035,7588,0,0,9.5,71805,4932,3263,8195,0,0,10,71321,5206,3472,8678,1,0
5,5,73445,3947,2597,6544,11,0,5.5,73561,3832,2595,6427,12,0,6,73001,4182,2807,6989,10,0,6.5,72349,4625,3017,7642,9,0,7,71783,4924,3278,8202,15,0,7.5,71324,5155,3507,8662,14,0,8,70877,5438,3673,9111,12,0,8.5,70232,5867,3884,9751,15,2,9,69653,6247,4092,10339,8,0,9.5,68788,6785,4411,11196,16,0,10,67866,7311,4815,12126,8,0
6,5,71895,4849,3204,8053,52,0,5.5,72117,4696,3134,7830,52,1,6,71284,5219,3453,8672,44,0,6.5,70331,5849,3769,9618,49,2,7,69394,6366,4192,10558,47,1,7.5,68563,6812,4561,11373,64,0,8,68010,7121,4806,11927,62,1,8.5,66969,7851,5121,12972,57,2,9,66010,8451,5493,13944,45,1,9.5,64786,9219,5930,15149,64,1,10,63350,10014,6590,16604,45,1
7,5,70056,5988,3809,9797,147,0,5.5,70339,5745,3777,9522,138,1,6,69191,6449,4232,10681,125,3,6.5,67834,7322,4694,12016,146,4,7,66390,8124,5336,13460,147,3,7.5,65339,8721,5770,14491,170,0,8,64309,9367,6167,15534,155,2,8.5,62921,10290,6636,16926,151,2,9,61291,11303,7258,18561,145,3,9.5,59526,12336,8002,20338,135,1,10,57547,13481,8839,22320,130,3
8,5,67955,7240,4478,11718,325,2,5.5,68269,6950,4476,11426,301,4,6,66605,8029,5073,13102,290,3,6.5,64864,9077,5762,14839,292,5,7,62784,10298,6591,16889,323,4,7.5,61414,11118,7133,18251,335,0,8,59786,12048,7838,19886,324,4,8.5,57856,13287,8522,21809,333,2,9,55743,14658,9313,23971,279,7,9.5,53209,16095,10362,26457,331,3,10,50514,17670,11469,29139,343,4
9,5,65472,8656,5304,13960,563,5,5.5,65785,8383,5319,13702,507,6,6,63597,9784,6080,15864,530,9,6.5,61276,11166,7010,18176,539,9,7,58479,12809,8139,20948,566,7,7.5,56683,13831,8869,22700,616,1,8,54466,15222,9720,24942,584,8,8.5,52016,16779,10589,27368,613,3,9,49256,18531,11681,30212,523,9,9.5,45940,20326,13120,33446,606,8,10,42384,22470,14497,36967,641,8
10,5,62559,10308,6235,16543,889,9,5.5,62857,10019,6265,16284,851,8,6,60181,11725,7246,18971,836,12,6.5,57199,13557,8349,21906,883,12,7,53741,15519,9787,25306,942,11,7.5,51199,16976,10820,27796,998,7,8,48576,18660,11769,30429,981,14,8.5,45280,20760,12968,33728,985,7,9,41868,22832,14356,37188,931,13,9.5,38095,24945,15894,40839,1053,13,10,34275,27191,17429,44620,1092,13
11,5,59379,12090,7215,19305,1301,15,5.5,59527,11900,7358,19258,1205,10,6,56293,13820,8595,22415,1277,15,6.5,52645,16078,9926,26004,1338,13,7,48437,18544,11559,30103,1444,16,7.5,45399,20274,12873,33147,1443,11,8,42064,22422,14010,36432,1486,18,8.5,38206,24885,15363,40248,1535,11,9,34268,27229,16969,44198,1515,19,9.5,30423,29343,18543,47886,1673,18,10,26584,31619,20049,51668,1729,19
12,5,55812,14037,8284,22321,1843,24,5.5,55920,13811,8515,22326,1741,13,6,52013,16147,9963,26110,1858,19,6.5,47551,18913,11595,30508,1926,15,7,42689,21750,13465,35215,2072,24,7.5,39134,23791,14933,38724,2127,15,8,35437,26185,16156,42341,2193,29,8.5,31338,28746,17649,46395,2249,18,9,27241,31250,19205,50455,2282,22,9.5,23711,33207,20572,53779,2486,24,10,20404,35009,21883,56892,2681,23
13,5,51984,16113,9448,25561,2428,27,5.5,52020,15872,9700,25572,2393,15,6,47486,18561,11399,29960,2531,23,6.5,42211,21760,13284,35044,2727,18,7,37025,24857,15172,40029,2915,31,7.5,32932,27155,16912,44067,2980,21,8,28961,29713,18201,47914,3092,33,8.5,25134,32165,19466,51631,3209,26,9,21226,34460,20942,55402,3344,28,9.5,18462,35938,21912,57850,3654,34,10,15806,37402,22855,60257,3908,29
14,5,47880,18267,10667,28934,3155,31,5.5,47841,18039,10932,28971,3167,21,6,42631,21076,12900,33976,3364,29,6.5,36986,24503,14785,39288,3708,18,7,31374,27831,16810,44641,3950,35,7.5,27196,30119,18584,48703,4080,21,8,23305,32627,19722,52349,4306,40,8.5,19614,34922,20941,55863,4488,35,9,16522,36779,21938,58717,4726,35,9.5,14349,37887,22619,60506,5099,46,10,12337,38962,23166,62128,5499,36
