,0-LowBehavior,0-Susceptible,0-Asymptomatic_Inf,0-Symptomatic_Inf,0-Total_Inf,0-Recovered,0-Dead,0.1-LowBehavior,0.1-Susceptible,0.1-Asymptomatic_Inf,0.1-Symptomatic_Inf,0.1-Total_Inf,0.1-Recovered,0.1-Dead,0.2-LowBehavior,0.2-Susceptible,0.2-Asymptomatic_Inf,0.2-Symptomatic_Inf,0.2-Total_Inf,0.2-Recovered,0.2-Dead,0.3-LowBehavior,0.3-Susceptible,0.3-Asymptomatic_Inf,0.3-Symptomatic_Inf,0.3-Total_Inf,0.3-Recovered,0.3-Dead,0.4-LowBehavior,0.4-Susceptible,0.4-Asymptomatic_Inf,0.4-Symptomatic_Inf,0.4-Total_Inf,0.4-Recovered,0.4-Dead,0.5-LowBehavior,0.5-Susceptible,0.5-Asymptomatic_Inf,0.5-Symptomatic_Inf,0.5-Total_Inf,0.5-Recovered,0.5-Dead,0.6-LowBehavior,0.6-Susceptible,0.6-Asymptomatic_Inf,0.6-Symptomatic_Inf,0.6-Total_Inf,0.6-Recovered,0.6-Dead,0.7-LowBehavior,0.7-Susceptible,0.7-Asymptomatic_Inf,0.7-Symptomatic_Inf,0.7-Total_Inf,0.7-Recovered,0.7-Dead,0.8-LowBehavior,0.8-Susceptible,0.8-Asymptomatic_Inf,0.8-Symptomatic_Inf,0.8-Total_Inf,0.8-Recovered,0.8-Dead,0.9-LowBehavior,0.9-Susceptible,0.9-Asymptomatic_Inf,0.9-Symptomatic_Inf,0.9-Total_Inf,0.9-Recovered,0.9-Dead,1-LowBehavior,1-Susceptible,1-Asymptomatic_Inf,1-Symptomatic_Inf,1-Total_Inf,1-Recovered,1-Dead
0,5.5,77507,1554,939,2493,0,0,5.5,77621,1422,957,2379,0,0,5.5,77581,1469,950,2419,0,0,5.5,77549,1484,967,2451,0,0,5.5,77625,1435,940,2375,0,0,5.5,77559,1486,955,2441,0,0,5.5,77574,1429,997,2426,0,0,5.5,77598,1400,1002,2402,0,0,5.5,77582,1441,977,2418,0,0,5.5,77629,1438,933,2371,0,0,5.5,77557,1438,1005,2443,0,0
1,5.5,77194,1736,1070,2806,0,0,5.5,77334,1578,1088,2666,0,0,5.5,77290,1640,1070,2710,0,0,5.5,77241,1678,1081,2759,0,0,5.5,77338,1594,1068,2662,0,0,5.5,77265,1653,1082,2735,0,0,5.5,77277,1598,1125,2723,0,0,5.5,77297,1586,1117,2703,0,0,5.5,77294,1619,1087,2706,0,0,5.5,77333,1608,1059,2667,0,0,5.5,77259,1626,1115,2741,0,0
2,5.5,76577,2120,1303,3423,0,0,5.5,76720,1938,1342,3280,0,0,5.5,76653,2035,1312,3347,0,0,5.5,76631,2042,1327,3369,0,0,5.5,76697,1982,1321,3303,0,0,5.5,76675,1995,1330,3325,0,0,5.5,76656,1968,1376,3344,0,0,5.5,76667,1960,1373,3333,0,0,5.5,76612,2042,1346,3388,0,0,5.5,76667,2007,1326,3333,0,0,5.5,76639,1994,1367,3361,0,0
3,5.5,75808,2565,1627,4192,0,0,5.5,76014,2370,1616,3986,0,0,5.5,75936,2433,1631,4064,0,0,5.5,75898,2509,1593,4102,0,0,5.5,75961,2429,1610,4039,0,0,5.5,75910,2460,1630,4090,0,0,5.5,75883,2432,1685,4117,0,0,5.5,75971,2367,1662,4029,0,0,5.5,75855,2486,1659,4145,0,0,5.5,75919,2465,1616,4081,0,0,5.5,75868,2437,1695,4132,0,0
4,5.5,74917,3085,1996,5081,2,0,5.5,75136,2916,1947,4863,1,0,5.5,75043,2950,2005,4955,2,0,5.5,75004,3057,1939,4996,0,0,5.5,75067,2969,1964,4933,0,0,5.5,75005,3002,1993,4995,0,0,5.5,74979,2984,2037,5021,0,0,5.5,75145,2861,1992,4853,2,0,5.5,74952,3014,2032,5046,2,0,5.5,75001,2993,2005,4998,1,0,5.5,74971,2967,2062,5029,0,0
5,5.5,73821,3752,2419,6171,8,0,5.5,74064,3554,2367,5921,15,0,5.5,73914,3640,2436,6076,10,0,5.5,73956,3694,2332,6026,18,0,5.5,74029,3592,2371,5963,8,0,5.5,73991,3614,2389,6003,6,0,5.5,73893,3638,2460,6098,9,0,5.5,74055,3494,2440,5934,10,1,5.5,73860,3666,2461,6127,13,0,5.5,73927,3657,2403,6060,13,0,5.5,73902,3593,2489,6082,16,0
6,5.5,72493,4531,2935,7466,41,0,5.5,72818,4293,2836,7129,52,1,5.5,72584,4448,2915,7363,52,1,5.5,72651,4463,2824,7287,62,0,5.5,72812,4345,2799,7144,44,0,5.5,72745,4391,2820,7211,44,0,5.5,72568,4464,2905,7369,63,0,5.5,72852,4243,2860,7103,44,1,5.5,72556,4444,2948,7392,51,1,5.5,72643,4389,2920,7309,48,0,5.5,72584,4387,2976,7363,52,1
7,5.5,71021,5389,3457,8846,133,0,5.5,71277,5219,3366,8585,137,1,5.5,71053,5341,3482,8823,121,3,5.5,71139,5377,3344,8721,139,1,5.5,71295,5224,3346,8570,134,1,5.5,71182,5297,3389,8686,131,1,5.5,71071,5364,3391,8755,173,1,5.5,71377,5126,3367,8493,127,3,5.5,71008,5345,3513,8858,129,5,5.5,70997,5358,3500,8858,142,3,5.5,71058,5307,3494,8801,140,1
8,5.5,69140,6485,4093,10578,279,3,5.5,69550,6204,3966,10170,275,5,5.5,69285,6387,4038,10425,286,4,5.5,69313,6449,3926,10375,309,3,5.5,69508,6284,3922,10206,283,3,5.5,69442,6293,3987,10280,277,1,5.5,69226,6463,3978,10441,332,1,5.5,69662,6130,3931,10061,272,5,5.5,69183,6418,4119,10537,270,10,5.5,69192,6441,4106,10547,254,7,5.5,69228,6376,4107,10483,287,2
9,5.5,67060,7650,4796,12446,488,6,5.5,67565,7393,4534,11927,501,7,5.5,67122,7627,4732,12359,513,6,5.5,67219,7641,4613,12254,521,6,5.5,67414,7478,4587,12065,516,5,5.5,67346,7451,4673,12124,528,2,5.5,67157,7613,4647,12260,580,3,5.5,67584,7329,4559,11888,519,9,5.5,67019,7657,4806,12463,506,12,5.5,67088,7666,4773,12439,461,12,5.5,67139,7538,4816,12354,503,4
